crop,suitability_score,growing_recommendation,relevant_information,climate_category, loamy,Arid,Clay  loamy,Clay loamy,Sandy loamy,loamy,sandy,sandy loamy,crop_encoded
Mango,8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Mango trees produce sweet fruits that grow well in tropical climates. Trees begin to produce fruits after 3-6 years.,rainy,0,0,0,0,0,1,0,0,36
Guava,8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Guava trees produce fruits that grow well in tropical climates. Trees begin to produce fruits after 2-4 years.,rainy,0,0,0,0,0,1,0,0,27
Pawpaw (Papaya),8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Papaya trees produce fruits that grow well in tropical climates. Trees begin to produce fruits after 6-12 months.,rainy,0,0,0,0,0,1,0,0,44
Avocado,8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Avocado trees produce fruits that grow well in tropical climates. Trees begin to produce fruits after 3-4 years.,rainy,0,0,0,0,0,1,0,0,1
Plantains,9.0,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Plantains are a staple food in many tropical regions. They can be harvested 9-12 months after planting.,rainy,0,0,0,0,0,1,0,0,48
Egusi (Melon Seeds),8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Egusi is grown for its edible seeds used in soups and stews. It matures in 5-6 months.,rainy,0,0,0,0,0,1,0,0,22
Okra,8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Okra is a popular vegetable that grows well in warm climates. It matures in 50-60 days.,rainy,0,0,0,0,0,1,0,0,42
Bitter Leaf,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Bitter Leaf is used for its medicinal properties and as a leafy vegetable. It matures in 3-4 months.,rainy,0,0,0,0,0,1,0,0,6
Ugu (Pumpkin),8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Ugwu is a leafy vegetable that grows well in tropical climates. It matures in 2-3 months.,rainy,0,0,0,0,0,1,0,0,60
Water Leaf,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.","Water Leaf is used as a leafy vegetable and grows well in warm, humid climates. It matures in 2-3 months.",rainy,0,0,0,0,0,1,0,0,64
Jute,8.0,Plant in well-drained soil with full sun exposure. Requires regular watering.,Jute is used for its fiber and grows well in tropical climates. It matures in 3-4 months.,rainy,0,0,0,0,0,1,0,0,31
Fluted Pumpkin,8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Fluted Pumpkin is used as a leafy vegetable and grows well in tropical climates. It matures in 2-3 months.,rainy,0,0,0,0,0,1,0,0,24
Efo Rogo (Bitter Leaf),8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Bitter Leaf is used for its medicinal properties and as a leafy vegetable. It matures in 3-4 months.,rainy,0,0,0,0,0,1,0,0,20
Ukazi (African Spinach),8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.","African Spinach is used as a leafy vegetable and grows well in warm, humid climates. It matures in 2-3 months.",rainy,0,0,0,0,0,1,0,0,62
Lettuce,8.0,"Plant in cool, shaded areas. Requires regular watering and rich, well-drained soil.",Lettuce is a leafy green vegetable that grows quickly and prefers cooler temperatures. It matures in 45-55 days.,default,0,0,0,0,0,1,0,0,34
Carrots,7.5,"Plant in loose, sandy soil. Ensure the soil is well-drained and keep it consistently moist.",Carrots are root vegetables that thrive in cooler climates. They typically mature in 70-80 days.,default,0,0,0,0,0,0,1,0,8
Cabbage,8.0,"Plant in cool, shaded areas. Requires regular watering and rich, well-drained soil.",Cabbage is a leafy green vegetable that grows best in cooler climates. It matures in 70-100 days.,default,0,0,0,0,0,1,0,0,7
Tomatoes,8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Tomatoes are versatile vegetables that grow well in warm climates. They mature in 60-85 days.,default,0,0,0,0,0,1,0,0,59
Onions,8.0,Plant in well-drained soil with full sun exposure. Requires moderate watering.,Onions are a staple vegetable that grows well in various climates. They mature in 90-120 days.,default,0,0,0,0,0,1,0,0,43
Eggplant,8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Eggplant is a warm-season vegetable that grows well in tropical climates. It matures in 70-85 days.,default,1,0,0,0,0,0,0,0,21
Okra,8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Okra is a popular vegetable that grows well in warm climates. It matures in 50-60 days.,default,0,0,0,0,0,1,0,0,42
Green Beans,8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Green Beans are a versatile vegetable that grows well in warm climates. They mature in 50-60 days.,default,0,0,0,0,0,1,0,0,25
"Peppers (Bell peppers, Chili peppers)",8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Peppers are versatile vegetables that grow well in warm climates. They mature in 60-90 days.,default,0,0,0,0,0,1,0,0,46
Cucumber,8.0,Plant in well-drained soil with full sun exposure. Requires regular watering.,Cucumbers are a refreshing vegetable that grows well in warm climates. They mature in 50-70 days.,default,0,0,0,0,0,1,0,0,19
Bitter Leaf,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Bitter Leaf is used for its medicinal properties and as a leafy vegetable. It matures in 3-4 months.,default,0,0,0,0,0,1,0,0,6
Ugu (Pumpkin),8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",,default,0,0,0,0,0,1,0,0,60
Water Leaf,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",,default,0,0,0,0,0,1,0,0,64
Ewedu (Vegetable Soup),8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",,default,0,0,0,0,0,1,0,0,23
Scent Leaf,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",,default,0,0,0,0,0,1,0,0,51
Uziza (Piper Guineense),8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",,default,0,0,0,0,0,1,0,0,63
